frame,timestamp,ID_6_x_ema,ID_6_y_ema,ID_6_x_raw,ID_6_y_raw,ID_6_x_filtered,ID_6_y_filtered,ID_6_x_bottom,ID_6_y_bottom,ID_6_ts_bottom,ID_6_delay_ms,ID_8_x_ema,ID_8_y_ema,ID_8_x_raw,ID_8_y_raw,ID_8_x_filtered,ID_8_y_filtered,ID_8_x_bottom,ID_8_y_bottom,ID_8_ts_bottom,ID_8_delay_ms
1,2026-05-21 15:41:34.102,297.08,479.98,297.08,479.98,297.08,479.98,312.28,488.44,2026-05-21 15:41:33.885,217.1,420.36,359.55,420.36,359.55,420.36,359.55,,,,
2,2026-05-21 15:41:34.190,297.08,480.35,297.08,479.98,297.08,480.48,312.28,488.19,2026-05-21 15:41:34.157,32.9,420.36,359.55,420.36,359.55,420.36,359.55,,,,
3,2026-05-21 15:41:34.229,297.08,480.22,297.08,479.98,297.08,480.1,,,,,420.36,359.55,420.36,359.55,420.36,359.55,,,,
4,2026-05-21 15:41:34.267,297.08,479.57,297.07,478.35,297.08,478.82,311.92,488.94,2026-05-21 15:41:34.235,31.9,420.36,359.55,420.36,359.55,420.36,359.55,,,,
5,2026-05-21 15:41:34.314,297.08,479.71,297.08,479.98,297.08,479.4,311.92,488.94,2026-05-21 15:41:34.282,31.9,420.36,359.55,420.36,359.55,420.36,359.55,,,,
6,2026-05-21 15:41:34.356,297.08,479.5,297.08,479.98,297.08,479.42,312.28,488.44,2026-05-21 15:41:34.316,39.9,420.36,359.55,420.36,359.55,420.36,359.55,,,,
7,2026-05-21 15:41:34.396,297.08,479.67,297.08,479.98,297.08,479.83,312.46,488.19,2026-05-21 15:41:34.364,31.9,420.36,359.55,420.36,359.55,420.36,359.55,,,,
8,2026-05-21 15:41:34.437,297.08,480.35,297.08,481.61,297.08,481.11,,,,,420.36,359.55,420.36,359.55,420.36,359.55,,,,
9,2026-05-21 15:41:34.487,297.08,481.36,297.08,483.23,297.08,482.76,,,,,420.36,359.55,420.36,359.55,420.36,359.55,,,,
10,2026-05-21 15:41:34.527,297.08,481.22,297.08,480.79,297.08,481.44,311.04,488.69,2026-05-21 15:41:34.474,52.8,420.71,359.55,421.38,359.55,421.05,359.55,,,,
11,2026-05-21 15:41:34.567,297.08,481.07,297.08,480.79,297.08,480.96,311.93,488.44,2026-05-21 15:41:34.524,42.9,420.95,359.55,421.38,359.55,421.36,359.55,,,,
12,2026-05-21 15:41:34.602,297.08,480.97,297.08,480.79,297.08,480.76,311.4,487.7,2026-05-21 15:41:34.555,47.9,420.38,359.55,419.34,359.55,420.09,359.55,,,,
13,2026-05-21 15:41:34.647,297.08,480.91,297.08,480.79,297.08,480.71,311.93,488.44,2026-05-21 15:41:34.603,43.1,419.3,359.55,417.3,359.54,418.09,359.54,,,,
14,2026-05-21 15:41:34.700,297.08,480.84,297.08,480.79,297.08,480.74,,,,,419.68,359.55,420.36,359.55,419.66,359.55,,,,
15,2026-05-21 15:41:34.739,297.08,480.83,297.08,480.79,297.08,480.76,311.57,488.2,2026-05-21 15:41:34.714,24.5,419.92,359.55,420.36,359.55,420.2,359.55,,,,
16,2026-05-21 15:41:34.782,297.08,480.81,297.08,480.79,297.08,480.78,,,,,420.07,359.55,420.36,359.55,420.42,359.55,,,,
17,2026-05-21 15:41:34.826,297.08,480.81,297.08,480.79,297.08,480.79,,,,,420.17,359.55,420.36,359.55,420.47,359.55,,,,
18,2026-05-21 15:41:34.871,297.08,480.8,297.08,480.79,297.08,480.79,312.09,489.18,2026-05-21 15:41:34.842,28.9,420.64,359.55,421.38,359.55,421.11,359.55,,,,
19,2026-05-21 15:41:34.909,297.08,480.8,297.08,480.79,297.08,480.79,311.92,488.69,2026-05-21 15:41:34.875,33.9,420.89,359.55,421.38,359.55,421.4,359.55,,,,
20,2026-05-21 15:41:34.952,297.08,480.8,297.08,480.79,297.08,480.79,,,,,421.78,359.55,423.41,359.56,422.86,359.56,,,,
21,2026-05-21 15:41:34.990,297.08,480.8,297.08,480.79,297.08,480.79,,,,,421.64,359.55,421.38,359.55,422.12,359.56,,,,
22,2026-05-21 15:41:35.032,297.08,480.79,297.08,480.79,297.08,480.79,311.93,488.44,2026-05-21 15:41:35.002,30.0,421.59,359.55,420.36,359.55,421.38,359.55,,,,
23,2026-05-21 15:41:35.066,297.08,480.79,297.08,480.79,297.08,480.79,311.76,487.46,2026-05-21 15:41:35.035,30.9,421.16,359.55,420.36,359.55,420.55,359.55,,,,
24,2026-05-21 15:41:35.108,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.88,359.55,420.36,359.55,420.23,359.55,,,,
25,2026-05-21 15:41:35.146,297.08,480.79,297.08,480.79,297.08,480.79,312.09,489.18,2026-05-21 15:41:35.114,31.9,420.7,359.55,420.36,359.55,420.16,359.55,,,,
26,2026-05-21 15:41:35.193,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.86,359.55,421.38,359.55,420.94,359.55,,,,
27,2026-05-21 15:41:35.234,297.08,480.79,297.08,480.79,297.08,480.79,,,,,421.04,359.55,421.38,359.55,421.31,359.55,,,,
28,2026-05-21 15:41:35.277,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.44,359.55,419.34,359.55,420.07,359.55,,,,
29,2026-05-21 15:41:35.312,297.08,480.79,297.08,480.79,297.08,480.79,,,,,419.34,359.55,417.3,359.54,418.08,359.54,,,,
30,2026-05-21 15:41:35.355,297.08,480.79,297.08,480.79,297.08,480.79,311.04,488.45,2026-05-21 15:41:35.322,32.9,419.7,359.55,420.36,359.55,419.66,359.55,,,,
31,2026-05-21 15:41:35.391,297.08,480.79,297.08,480.79,297.08,480.79,,,,,419.93,359.55,420.36,359.55,420.2,359.55,,,,
32,2026-05-21 15:41:35.431,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.08,359.55,420.36,359.55,420.42,359.55,,,,
33,2026-05-21 15:41:35.473,297.08,480.79,297.08,480.79,297.08,480.79,311.05,487.71,2026-05-21 15:41:35.435,37.9,420.18,359.55,420.36,359.55,420.48,359.55,,,,
34,2026-05-21 15:41:35.523,297.08,480.79,297.08,480.79,297.08,480.79,311.04,488.2,2026-05-21 15:41:35.482,40.9,420.64,359.55,421.38,359.55,421.11,359.55,,,,
35,2026-05-21 15:41:35.556,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.9,359.55,421.38,359.55,421.4,359.55,,,,
36,2026-05-21 15:41:35.593,297.08,480.79,297.08,480.79,297.08,480.79,311.05,487.46,2026-05-21 15:41:35.563,29.9,420.35,359.55,419.34,359.55,420.11,359.55,,,,
37,2026-05-21 15:41:35.633,297.08,480.79,297.08,480.79,297.08,480.79,311.57,488.69,2026-05-21 15:41:35.596,35.9,419.28,359.55,417.3,359.54,418.09,359.54,,,,
38,2026-05-21 15:41:35.673,297.08,480.79,297.08,480.79,297.08,480.79,311.77,487.21,2026-05-21 15:41:35.644,30.0,420.03,359.55,421.38,359.55,420.35,359.55,,,,
39,2026-05-21 15:41:35.707,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.5,359.55,421.38,359.55,421.21,359.55,,,,
40,2026-05-21 15:41:35.751,297.08,480.79,297.08,480.79,297.08,480.79,311.94,487.46,2026-05-21 15:41:35.721,29.9,420.09,359.55,419.34,359.55,420.15,359.55,,,,
41,2026-05-21 15:41:35.788,297.08,480.79,297.08,480.79,297.08,480.79,,,,,419.12,359.55,417.3,359.54,418.2,359.54,,,,
42,2026-05-21 15:41:35.834,297.08,480.79,297.08,480.79,297.08,480.79,311.74,488.94,2026-05-21 15:41:35.802,31.9,419.96,359.55,421.38,359.55,420.41,359.55,,,,
43,2026-05-21 15:41:35.871,297.08,480.79,297.08,480.79,297.08,480.79,310.34,487.96,2026-05-21 15:41:35.835,35.9,420.45,359.55,421.38,359.55,421.24,359.55,,,,
44,2026-05-21 15:41:35.917,297.08,480.79,297.08,480.79,297.08,480.79,309.81,487.47,2026-05-21 15:41:35.882,34.9,421.49,359.55,423.41,359.56,422.93,359.56,,,,
45,2026-05-21 15:41:35.953,297.08,480.79,297.08,480.79,297.08,480.79,,,,,421.45,359.55,421.38,359.55,422.23,359.56,,,,
46,2026-05-21 15:41:35.993,297.08,480.79,297.08,480.79,297.08,480.79,312.1,488.69,2026-05-21 15:41:35.963,30.0,421.87,359.55,421.38,359.55,422.14,359.56,,,,
47,2026-05-21 15:41:36.030,297.08,480.79,297.08,480.79,297.08,480.79,,,,,421.7,359.55,421.38,359.55,421.59,359.55,,,,
48,2026-05-21 15:41:36.071,297.08,480.79,297.08,480.79,297.08,480.79,312.1,488.44,2026-05-21 15:41:36.043,27.9,420.87,359.55,419.34,359.55,419.98,359.55,,,,
49,2026-05-21 15:41:36.107,297.08,480.79,297.08,480.79,297.08,480.79,312.11,488.19,2026-05-21 15:41:36.074,32.9,419.62,359.55,417.3,359.54,417.9,359.54,,,,
50,2026-05-21 15:41:36.149,297.08,480.79,297.08,480.79,297.08,480.79,311.76,487.95,2026-05-21 15:41:36.121,27.9,420.17,359.55,421.38,359.55,420.24,359.55,,,,
51,2026-05-21 15:41:36.189,297.08,480.79,297.08,480.79,297.08,480.79,311.92,489.18,2026-05-21 15:41:36.154,34.9,420.59,359.55,421.38,359.55,421.15,359.55,,,,
52,2026-05-21 15:41:36.231,297.08,480.79,297.08,480.79,297.08,480.79,311.91,489.43,2026-05-21 15:41:36.202,28.9,421.58,359.55,423.41,359.56,422.88,359.56,,,,
53,2026-05-21 15:41:36.272,297.08,480.79,297.08,480.79,297.08,480.79,312.08,489.92,2026-05-21 15:41:36.235,37.4,421.51,359.55,421.38,359.55,422.22,359.56,,,,
54,2026-05-21 15:41:36.329,297.08,480.79,297.08,480.79,297.08,480.79,311.91,489.43,2026-05-21 15:41:36.283,45.9,421.54,359.55,420.36,359.55,421.45,359.55,,,,
55,2026-05-21 15:41:36.369,297.08,480.79,297.08,480.79,297.08,480.79,311.75,488.69,2026-05-21 15:41:36.314,54.9,421.13,359.55,420.36,359.55,420.59,359.55,,,,
56,2026-05-21 15:41:36.420,297.08,480.79,297.08,480.79,297.08,480.79,312.27,489.18,2026-05-21 15:41:36.395,24.9,420.86,359.55,420.36,359.55,420.25,359.55,,,,
57,2026-05-21 15:41:36.458,297.08,480.79,297.08,480.79,297.08,480.79,312.27,489.18,2026-05-21 15:41:36.395,62.8,420.68,359.55,420.36,359.55,420.17,359.55,,,,
58,2026-05-21 15:41:36.503,297.08,480.79,297.08,480.79,297.08,480.79,311.92,488.69,2026-05-21 15:41:36.473,29.9,420.49,359.55,420.36,359.55,420.25,359.55,,,,
59,2026-05-21 15:41:36.540,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.45,359.55,420.36,359.55,420.3,359.55,,,,
60,2026-05-21 15:41:36.581,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.42,359.55,420.36,359.55,420.33,359.55,,,,
61,2026-05-21 15:41:36.618,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.4,359.55,420.36,359.55,420.35,359.55,,,,
62,2026-05-21 15:41:36.660,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.37,359.55,420.36,359.55,420.36,359.55,,,,
63,2026-05-21 15:41:36.702,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.37,359.55,420.36,359.55,420.36,359.55,,,,
64,2026-05-21 15:41:36.743,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.36,359.55,420.36,359.55,420.36,359.55,,,,
65,2026-05-21 15:41:36.784,297.08,480.79,297.08,480.79,297.08,480.79,310.87,487.95,2026-05-21 15:41:36.762,21.9,420.36,359.55,420.36,359.55,420.36,359.55,,,,
66,2026-05-21 15:41:36.825,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.36,359.55,420.36,359.55,420.36,359.55,,,,
67,2026-05-21 15:41:36.866,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.36,359.55,420.36,359.55,420.36,359.55,,,,
68,2026-05-21 15:41:36.909,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.36,359.55,420.36,359.55,420.36,359.55,,,,
69,2026-05-21 15:41:36.952,297.08,480.79,297.08,480.79,297.08,480.79,311.58,487.7,2026-05-21 15:41:36.923,28.9,420.36,359.55,420.36,359.55,420.36,359.55,,,,
70,2026-05-21 15:41:36.998,297.08,480.79,297.08,480.79,297.08,480.79,312.11,488.19,2026-05-21 15:41:36.956,42.9,420.71,359.55,421.38,359.55,421.05,359.55,,,,
71,2026-05-21 15:41:37.038,297.08,480.79,297.08,480.79,297.08,480.79,311.57,488.44,2026-05-21 15:41:37.003,34.9,420.95,359.55,421.38,359.55,421.36,359.55,,,,
72,2026-05-21 15:41:37.082,297.08,480.79,297.08,480.79,297.08,480.79,312.1,488.69,2026-05-21 15:41:37.036,45.9,420.38,359.55,419.34,359.55,420.09,359.55,,,,
73,2026-05-21 15:41:37.125,297.08,480.79,297.08,480.79,297.08,480.79,311.4,487.95,2026-05-21 15:41:37.084,40.9,419.3,359.55,417.3,359.54,418.09,359.54,,,,
74,2026-05-21 15:41:37.167,297.08,480.79,297.08,480.79,297.08,480.79,310.87,487.71,2026-05-21 15:41:37.113,53.9,419.68,359.55,420.36,359.55,419.66,359.55,,,,
75,2026-05-21 15:41:37.211,297.08,480.79,297.08,480.79,297.08,480.79,311.22,488.45,2026-05-21 15:41:37.166,44.9,419.92,359.55,420.36,359.55,420.2,359.55,,,,
76,2026-05-21 15:41:37.250,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.07,359.55,420.36,359.55,420.42,359.55,,,,
77,2026-05-21 15:41:37.292,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.17,359.55,420.36,359.55,420.47,359.55,,,,
78,2026-05-21 15:41:37.345,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.64,359.55,421.38,359.55,421.11,359.55,,,,
79,2026-05-21 15:41:37.383,297.08,480.79,297.08,480.79,297.08,480.79,311.22,488.2,2026-05-21 15:41:37.355,27.9,420.89,359.55,421.38,359.55,421.4,359.55,,,,
80,2026-05-21 15:41:37.424,297.08,480.79,297.08,480.79,297.08,480.79,,,,,421.78,359.55,423.41,359.56,422.86,359.56,,,,
81,2026-05-21 15:41:37.463,297.08,480.79,297.08,480.79,297.08,480.79,310.7,487.46,2026-05-21 15:41:37.435,27.9,421.64,359.55,421.38,359.55,422.12,359.56,,,,
82,2026-05-21 15:41:37.507,297.08,480.79,297.08,480.79,297.08,480.79,,,,,421.95,359.56,421.38,359.55,422.07,359.56,,,,
83,2026-05-21 15:41:37.541,297.08,480.79,297.08,480.79,297.08,480.79,,,,,421.75,359.55,421.38,359.55,421.56,359.55,,,,
84,2026-05-21 15:41:37.580,297.08,480.79,297.08,480.79,297.08,480.79,,,,,420.9,359.55,419.34,359.55,419.96,359.55,,,,
85,2026-05-21 15:41:37.623,297.08,480.79,297.08,480.79,297.08,480.79,310.69,488.2,2026-05-21 15:41:37.592,30.9,421.07,359.55,421.38,359.55,420.65,359.55,,,,
86,2026-05-21 15:41:37.670,297.08,480.79,297.08,480.79,297.08,480.79,,,,,421.71,359.55,421.38,359.55,421.93,359.56,,,,
