frame;ID_6_x;ID_6_y
1;;
2;;
3;;
4;;
5;;
6;;
7;;
8;;
9;;
10;;
11;;
12;;
13;;
14;;
15;;
16;;
17;;
18;;
19;;
20;;
21;;
22;;
23;;
24;;
25;;
26;;
27;;
28;;
29;;
30;;
31;;
32;;
33;;
34;;
35;;
36;;
37;;
38;;
39;;
40;;
41;;
42;;
43;;
44;;
45;;
46;;
47;;
48;;
49;;
50;;
51;;
52;;
53;;
54;;
55;;
56;;
57;;
58;;
59;;
60;;
61;;
62;;
63;;
64;;
65;;
66;;
67;;
68;;
69;;
70;;
71;;
72;;
73;;
74;;
75;;
76;;
77;;
78;;
79;;
80;;
81;;
82;;
83;;
84;;
85;;
86;;
87;;
88;;
89;;
90;;
91;;
92;;
93;;
94;;
95;;
96;;
97;;
98;;
99;;
100;;
101;;
102;;
103;;
104;;
105;;
106;;
107;;
108;;
109;;
110;;
111;;
112;;
113;;
114;;
115;;
116;;
117;;
118;;
119;;
120;;
121;;
122;;
123;;
124;;
125;;
126;;
127;;
128;;
129;;
130;;
131;;
132;;
133;;
134;;
135;;
136;;
137;;
138;;
139;;
140;;
141;;
142;;
143;;
144;;
145;;
146;;
147;;
148;;
149;;
150;;
151;;
152;;
153;;
154;;
155;;
156;;
157;;
158;;
159;;
160;;
161;;
162;;
163;;
164;;
165;;
166;;
167;;
168;;
169;;
170;;
171;;
172;;
173;;
174;;
175;;
176;;
177;;
178;;
179;;
180;;
181;;
182;;
183;;
184;;
185;;
186;;
187;;
188;;
189;;
190;;
191;;
192;;
193;;
194;57.250152587890625;81.65371704101562
195;57.250152587890625;81.65371704101562
196;57.250152587890625;81.65371704101562
197;57.250152587890625;81.65371704101562
198;57.250152587890625;81.65371704101562
199;57.250152587890625;81.65371704101562
200;57.250152587890625;81.65371704101562
201;57.250152587890625;81.65371704101562
202;57.250152587890625;81.65371704101562
203;57.250152587890625;81.65371704101562
204;57.250152587890625;81.65371704101562
205;57.250152587890625;81.65371704101562
206;57.250152587890625;81.65371704101562
207;57.250152587890625;81.65371704101562
208;57.250152587890625;81.65371704101562
209;57.250152587890625;81.65371704101562
210;57.250152587890625;81.65371704101562
211;57.250152587890625;81.65371704101562
212;57.250152587890625;81.65371704101562
213;57.250152587890625;81.65371704101562
214;57.250152587890625;81.65371704101562
215;57.250152587890625;81.65371704101562
216;57.250152587890625;81.65371704101562
217;57.250152587890625;81.65371704101562
218;57.250152587890625;81.65371704101562
219;56.47751541137695;81.63410911560058
220;55.97530124664306;81.62136396408081
221;55.64886203956603;81.61307961559297
222;55.43667655496597;81.60769478907585
223;55.29875598997592;81.60419465183973
224;55.2091076227324;81.60191956263625
225;55.138201715945485;80.98130241847235
226;55.092112876534;80.57790127476582
227;55.06215513091654;80.31569053135658
228;55.81529709333408;80.67321577064683
229;56.317496516428875;81.01639121527592
230;56.64392614144049;81.23945525428482
231;56.85610539769803;81.38444687964059
232;57.08366765003424;81.53995039783467
233;57.14193737828397;81.579768722948
234;57.1798127016463;81.60565063427167
235;57.2204339859524;81.6334089841663
236;57.230835496630775;81.64051680406357
237;57.23759647857172;81.6451368869968
238;57.24484763170338;81.65009192594266
239;57.24670436636892;81.65136071621819
240;57.24791124390151;81.65218542989729
241;57.248695714297696;81.6527214937887
242;57.24920562005522;81.65306993531811
243;57.24975249398017;81.65344363885843
244;57.249892526848825;81.65353932961345
245;57.24998354821345;81.65360152860421
246;57.250042712100466;81.6536419579482
247;57.250106165369274;81.65368531841963
248;57.250122413251745;81.65369642132822
249;57.25013297437535;81.65370363821881
