frame;timestamp;ID_8_x;ID_8_y;ID_7_x;ID_7_y;ID_6_x;ID_6_y
1;2026-05-21 11:19:09.695;;;;;;
2;2026-05-21 11:19:09.801;;;;;;
3;2026-05-21 11:19:09.840;;;;;;
4;2026-05-21 11:19:09.878;;;;;;
5;2026-05-21 11:19:09.922;;;;;;
6;2026-05-21 11:19:09.966;;;;;;
7;2026-05-21 11:19:10.002;;;;;;
8;2026-05-21 11:19:10.041;;;;;;
9;2026-05-21 11:19:10.083;;;;;;
10;2026-05-21 11:19:10.130;218.56;304.06;213.81;305.18;216.2;304.97
11;2026-05-21 11:19:10.165;216.9;304.45;213.81;305.18;213.9;305.31
12;2026-05-21 11:19:10.206;215.08;304.7;211.69;305.16;211.7;305.37
13;2026-05-21 11:19:10.244;213.15;304.86;209.57;305.15;209.55;305.32
14;2026-05-21 11:19:10.281;212.64;304.96;211.69;305.16;210.3;305.27
15;2026-05-21 11:19:10.324;213.31;305.09;213.81;305.18;213.44;305.2
16;2026-05-21 11:19:10.361;213.49;305.12;213.81;305.18;213.9;305.19
17;2026-05-21 11:19:10.403;214.34;305.15;215.92;305.2;215.45;305.19
18;2026-05-21 11:19:10.441;214.15;305.16;213.81;305.18;214.65;305.18
19;2026-05-21 11:19:10.488;214.06;304.88;212.74;304.33;213.83;304.61
20;2026-05-21 11:19:10.531;213.6;304.68;212.74;304.33;212.96;304.34
21;2026-05-21 11:19:10.577;213.29;303.97;212.73;302.64;212.6;303.11
22;2026-05-21 11:19:10.614;213.1;304.09;212.74;304.33;212.53;303.72
23;2026-05-21 11:19:10.655;212.89;303.85;212.74;304.33;212.63;303.75
24;2026-05-21 11:19:10.698;212.84;304.01;212.74;304.33;212.68;304.18
25;2026-05-21 11:19:10.742;212.8;303.53;212.73;302.64;212.71;303.22
26;2026-05-21 11:19:10.792;212.78;303.81;212.74;304.33;212.73;303.88
27;2026-05-21 11:19:10.833;213.87;303.73;215.92;304.35;214.89;303.86
28;2026-05-21 11:19:10.870;214.58;303.95;215.92;304.35;215.88;304.25
29;2026-05-21 11:19:10.922;215.79;304.69;218.04;306.05;217.65;305.55
30;2026-05-21 11:19:10.961;215.85;305.75;215.94;307.72;216.91;307.25
31;2026-05-21 11:19:11.003;216.37;305.33;215.92;304.35;216.74;305.29
32;2026-05-21 11:19:11.041;216.21;304.99;215.92;304.35;216.15;304.54
33;2026-05-21 11:19:11.079;215.36;304.17;213.79;302.65;214.46;303.09
34;2026-05-21 11:19:11.120;215.56;304.23;215.92;304.35;215.16;303.65
35;2026-05-21 11:19:11.163;214.91;303.91;214.86;304.34;214.45;303.71
36;2026-05-21 11:19:11.198;214.89;304.06;214.86;304.34;214.67;304.16
37;2026-05-21 11:19:11.236;214.87;303.57;214.84;302.66;214.78;303.22
38;2026-05-21 11:19:11.277;214.87;303.84;214.86;304.34;214.84;303.89
39;2026-05-21 11:19:11.322;215.23;303.75;215.92;304.35;215.58;303.86
40;2026-05-21 11:19:11.358;215.47;303.96;215.92;304.35;215.91;304.25
41;2026-05-21 11:19:11.398;216.37;304.69;218.04;306.05;217.46;305.55
42;2026-05-21 11:19:11.442;217.7;305.76;220.17;307.75;219.56;307.27
43;2026-05-21 11:19:11.483;217.15;305.34;215.92;304.35;217.08;305.3
44;2026-05-21 11:19:11.519;216.72;304.99;215.92;304.35;216.14;304.54
45;2026-05-21 11:19:11.560;215.69;304.17;213.79;302.65;214.33;303.09
