frame,timestamp,ID_6_x_ema,ID_6_y_ema,ID_6_x_raw,ID_6_y_raw,ID_6_x_filtered,ID_6_y_filtered,ID_6_x_bottom,ID_6_y_bottom,ID_8_x_ema,ID_8_y_ema,ID_8_x_raw,ID_8_y_raw,ID_8_x_filtered,ID_8_y_filtered,ID_8_x_bottom,ID_8_y_bottom
1,2026-05-21 11:19:09.695,,,,,,,,,,,,,,,,
2,2026-05-21 11:19:09.801,,,,,,,,,,,,,,,,
3,2026-05-21 11:19:09.840,,,,,,,,,,,,,,,,
4,2026-05-21 11:19:09.878,,,,,,,,,,,,,,,,
5,2026-05-21 11:19:09.922,,,,,,,,,,,,,,,,
6,2026-05-21 11:19:09.966,,,,,,,,,,,,,,,,
7,2026-05-21 11:19:10.002,,,,,,,,,,,,,,,,
8,2026-05-21 11:19:10.041,,,,,,,,,,,,,,,,
9,2026-05-21 11:19:10.083,,,,,,,,,,,,,,,,
10,2026-05-21 11:19:10.130,,,,,,,,,218.56,304.06,213.81,305.18,216.2,304.97,220.83,326.19
11,2026-05-21 11:19:10.165,,,,,,,,,216.9,304.45,213.81,305.18,213.9,305.31,220.5,326.39
12,2026-05-21 11:19:10.206,,,,,,,,,215.08,304.7,211.69,305.16,211.7,305.37,220.63,326.78
13,2026-05-21 11:19:10.244,,,,,,,,,213.15,304.86,209.57,305.15,209.55,305.32,,
14,2026-05-21 11:19:10.281,,,,,,,,,212.64,304.96,211.69,305.16,210.3,305.27,,
15,2026-05-21 11:19:10.324,,,,,,,,,213.31,305.09,213.81,305.18,213.44,305.2,220.61,326.97
16,2026-05-21 11:19:10.361,,,,,,,,,213.49,305.12,213.81,305.18,213.9,305.19,220.61,326.97
17,2026-05-21 11:19:10.403,,,,,,,,,214.34,305.15,215.92,305.2,215.45,305.19,220.31,326.78
18,2026-05-21 11:19:10.441,,,,,,,,,214.15,305.16,213.81,305.18,214.65,305.18,220.31,326.78
19,2026-05-21 11:19:10.488,,,,,,,,,214.06,304.88,212.74,304.33,213.83,304.61,220.75,327.17
20,2026-05-21 11:19:10.531,,,,,,,,,213.6,304.68,212.74,304.33,212.96,304.34,220.91,327.17
21,2026-05-21 11:19:10.577,,,,,,,,,213.29,303.97,212.73,302.64,212.6,303.11,,
22,2026-05-21 11:19:10.614,,,,,,,,,213.1,304.09,212.74,304.33,212.53,303.72,,
23,2026-05-21 11:19:10.655,,,,,,,,,212.89,303.85,212.74,304.33,212.63,303.75,220.43,327.17
24,2026-05-21 11:19:10.698,,,,,,,,,212.84,304.01,212.74,304.33,212.68,304.18,220.52,327.95
25,2026-05-21 11:19:10.742,,,,,,,,,212.8,303.53,212.73,302.64,212.71,303.22,220.26,327.36
26,2026-05-21 11:19:10.792,,,,,,,,,212.78,303.81,212.74,304.33,212.73,303.88,219.94,327.36
27,2026-05-21 11:19:10.833,,,,,,,,,213.87,303.73,215.92,304.35,214.89,303.86,220.42,327.36
28,2026-05-21 11:19:10.870,,,,,,,,,214.58,303.95,215.92,304.35,215.88,304.25,220.15,326.78
29,2026-05-21 11:19:10.922,,,,,,,,,215.79,304.69,218.04,306.05,217.65,305.55,,
30,2026-05-21 11:19:10.961,,,,,,,,,215.85,305.75,215.94,307.72,216.91,307.25,220.45,326.97
31,2026-05-21 11:19:11.003,,,,,,,,,216.37,305.33,215.92,304.35,216.74,305.29,220.45,326.97
